transaction_type,customer_id,customer_id_2,amount,timestamp
DepositChecking,18,,367.9705592571621,1760206113.691624
WriteCheck,76,,61.611296516784805,1760206113.6916301
Balance,91,,0.0,1760206113.691632
WriteCheck,23,,36.83991183965073,1760206113.691634
SendPayment,54,361,100.49363595143144,1760206113.691637
Balance,9,,0.0,1760206113.691638
SendPayment,21,861,421.7824732731752,1760206113.6916401
WriteCheck,48,,75.85008279381823,1760206113.691642
WriteCheck,13,,15.69469688905596,1760206113.6916428
WriteCheck,87,,137.43001829828313,1760206113.691645
DepositChecking,80,,932.5995609888803,1760206113.6916459
TransactSavings,65,,16.639851982020446,1760206113.691647
TransactSavings,66,,799.2884455716751,1760206113.691648
SendPayment,50,370,165.83217312397915,1760206113.6916502
SendPayment,17,180,227.54114265978168,1760206113.691651
SendPayment,83,609,27.808432518355993,1760206113.691654
WriteCheck,79,,122.653291096493,1760206113.6916559
Balance,902,,0.0,1760206113.691657
SendPayment,79,762,368.2700506986736,1760206113.691659
TransactSavings,43,,941.3705242375131,1760206113.69166
Balance,737,,0.0,1760206113.6916611
DepositChecking,71,,697.6194973990036,1760206113.691662
SendPayment,28,148,250.1516958654191,1760206113.691663
TransactSavings,77,,798.5602702321705,1760206113.691664
SendPayment,3,446,271.5155119037478,1760206113.691666
Balance,17,,0.0,1760206113.6916668
SendPayment,27,425,187.39911681330113,1760206113.691668
Balance,3,,0.0,1760206113.691669
DepositChecking,82,,712.4094114515128,1760206113.69167
DepositChecking,25,,285.3491189339595,1760206113.6916711
DepositChecking,62,,587.7459299852648,1760206113.691672
WriteCheck,52,,128.71461923115822,1760206113.691673
TransactSavings,2,,-134.27198895161035,1760206113.691674
SendPayment,28,304,252.83867520616707,1760206113.691676
Amalgamate,39,725,0.0,1760206113.691678
Balance,4,,0.0,1760206113.691679
SendPayment,325,657,389.8438368212179,1760206113.691681
TransactSavings,487,,-122.06118971826777,1760206113.691682
TransactSavings,20,,944.9485180933568,1760206113.691683
DepositChecking,65,,688.6189965062217,1760206113.691684
Balance,31,,0.0,1760206113.6916852
TransactSavings,80,,27.024873613781892,1760206113.691686
DepositChecking,94,,585.1520692587867,1760206113.6916869
DepositChecking,89,,156.83911735187073,1760206113.6916878
WriteCheck,40,,19.30864511782402,1760206113.691689
WriteCheck,54,,170.42150734379055,1760206113.69169
Balance,95,,0.0,1760206113.691691
WriteCheck,82,,164.26210447350607,1760206113.691692
WriteCheck,84,,149.37250674956564,1760206113.691693
TransactSavings,55,,-230.15497366047202,1760206113.6916952
WriteCheck,703,,33.162975807447424,1760206113.6916962
DepositChecking,80,,250.76056553037327,1760206113.691697
SendPayment,47,162,346.0626158475021,1760206113.6916978
SendPayment,69,142,27.81963700407666,1760206113.6917
WriteCheck,20,,172.80626153086624,1760206113.691701
Balance,24,,0.0,1760206113.6917021
SendPayment,43,343,374.9047892382075,1760206113.691703
DepositChecking,18,,777.2732084522565,1760206113.691704
WriteCheck,32,,196.97319734571255,1760206113.6917062
SendPayment,51,355,392.5771992991791,1760206113.691707
SendPayment,145,137,427.23568095652934,1760206113.6917078
TransactSavings,14,,814.4489175564081,1760206113.69171
Amalgamate,66,461,0.0,1760206113.691711
DepositChecking,19,,338.0759719283883,1760206113.691712
Amalgamate,5,1,0.0,1760206113.691713
Balance,54,,0.0,1760206113.691714
WriteCheck,95,,18.011004565827356,1760206113.691715
TransactSavings,32,,326.1126354287785,1760206113.6917162
